Date,1D,1W,1M,2M,3M,1Y,2Y,3Y,4Y,5Y,6M,7Y,10Y,12Y,15Y
70,0.0158113,0.00876103,-0.00130844,-1.71E-04,-0.000333791,-0.003831188,0.007745468,0.007823409,0.071674886,-0.000524818,2.76E-04,0.007615533,-0.009336735,-0.000422964,-0.000368665
1,-0.063245209,-0.034330841,-0.034393839,-0.020272824,-0.016521127,-8.22E-05,0.005828375,-0.001890874,0.014794178,-0.005719716,-0.008230353,-0.001124876,-0.001021349,-0.001050796,-0.001070618
3,0.047433909,0.02556981,0.035065099,0.019434422,0.016596512,0.004272949,-0.044768128,-0.01330103,-0.086291733,-0.049801032,0.008242998,-0.06232829,-0.046172056,0.005960425,0.005435734
1,0,0,0.004484363,0.000336457,0.000339885,0.007867193,-0.000318773,-0.031967696,-0.007800694,-0.040317617,-2.91E-07,0.000651164,-0.040857706,0.002235642,0.001996574
1,-0.0158113,-0.003513623,-0.002489411,-1.65E-04,-0.000781819,1.47E-04,-2.85E-04,-0.020239162,-0.031755187,-0.015630399,-0.000440667,-0.073167221,-0.048302156,0.004303977,0.00398681
1,0.0158113,-0.01688255,-0.059181694,-0.037074594,-0.030136576,-0.00804904,-0.003639968,0.040793534,0.013045455,0.013250253,-0.014650728,0.014035118,-0.00241371,-0.003005214,-0.002827582
1,-3.64E-06,-1.32E-06,0.000613153,-0.000535374,0.000665457,-1.77E-04,0.015361181,-0.008364088,-0.00790091,-0.007858152,-0.000349365,9.96E-05,3.86E-05,3.32E-05,8.63E-05
3,0.01581494,0.024181656,0.059517592,0.038950315,0.029538795,0.01633706,0.004364117,0.011334134,0.002530195,0.002380382,0.015596312,-0.030577739,-0.014011306,0.00360525,0.00324604
1,0,0,0.003452142,-0.000336454,-0.000339885,0.003775216,0.031655199,0.015710025,0.039606396,0.03958591,2.94E-07,0.015271341,-0.009297843,-0.001004858,-0.000934826
1,-0.0158113,-0.003513623,-0.002789692,-0.000838402,-7.84E-05,0.00414845,0.023294359,0.056057174,0.055590204,0.087743845,-0.000442912,0.080021933,0.063352014,-0.0064948,-0.005784951
1,0.0158113,-0.014917147,-0.057705875,-0.035969397,-0.028794315,-0.015810342,-0.011881531,-0.03530652,-0.00246447,-0.066525417,-0.014531083,0.006872606,0.073694259,-0.004004165,-0.003726864
1,-0.047437198,-0.017249889,-0.005887639,-0.004375406,-0.002309354,-0.00063058,0.015450999,0.05491015,0.047128822,0.08789528,-0.001244549,0.087888358,0.063151915,-0.006706245,-0.006006996
